8.463356432332591606e-03,8.308656186221327622e-03,6.953400118799468732e-03,5.415641086153832884e-03,4.188496877995294410e-03,3.333406795726079341e-03,2.784259456242318964e-03,2.469851811835101218e-03,2.339446512650965315e-03,2.361194610951938833e-03,2.516355808510034597e-03,2.795009007891646746e-03,3.194260075576070557e-03,3.718630236060199712e-03,4.381524744086241763e-03,5.205422787349769931e-03,6.215823172916565276e-03,7.419296944357389734e-03,8.752460051610441716e-03,1.000640167669777925e-02,1.080803932758919728e-02
8.825726370105868579e-03,8.692355758773223640e-03,7.286074254533120298e-03,5.667073889254414798e-03,4.357284627352811524e-03,3.427148401556293078e-03,2.811722072041923648e-03,2.439802652251098214e-03,2.261588792081305199e-03,2.247470231554755948e-03,2.382044371920605252e-03,2.659388222700169446e-03,3.080696442926196543e-03,3.654095278275183711e-03,4.395718812409604714e-03,5.329759453859175822e-03,6.482147654659195513e-03,7.857071876645832509e-03,9.381472918742306266e-03,1.082222974135928217e-02,1.176567340487770508e-02
9.201621479597327236e-03,9.093779488581171799e-03,7.636881160431943649e-03,5.933673265225758442e-03,4.535987441634012352e-03,3.523877470517557120e-03,2.833886182984288182e-03,2.395181663085513279e-03,2.159516451192423914e-03,2.100451392978930354e-03,2.207157484698116234e-03,2.479185072988068783e-03,2.923415753906317971e-03,3.553123450872358591e-03,4.388428939993554989e-03,5.455970635146134562e-03,6.782065506833329094e-03,8.367262210819403911e-03,1.012544712187245233e-02,1.179268145905074117e-02,1.290573643577175300e-02
9.590316856741970541e-03,9.512661458641505363e-03,8.006248631305751262e-03,6.216471885756649773e-03,4.725967992656135430e-03,3.624923315914449495e-03,2.851649847302281660e-03,2.336098666353023101e-03,2.032345141937251520e-03,1.918320313344663852e-03,1.989348224965672984e-03,2.252281293559192654e-03,2.721592598323829826e-03,3.417489903321357936e-03,4.365537261853374984e-03,5.595709388065056578e-03,7.134713157849734144e-03,8.977961168909337486e-03,1.102208424692097122e-02,1.296406835260872914e-02,1.428005681000230065e-02
9.990761381446944256e-03,9.948400943809304620e-03,8.394408559665222924e-03,6.516555529269899005e-03,4.928947955979687268e-03,3.732290700637436176e-03,2.866870133828830491e-03,2.263841673757406581e-03,1.880525356407897197e-03,1.700740708746484309e-03,1.727987976507833201e-03,1.978724121290145743e-03,2.477326506760871294e-03,3.253023638508670268e-03,4.338492275336072734e-03,5.768083160773568308e-03,7.568922102860198287e-03,9.729470338019255427e-03,1.212384706640774745e-02,1.439960161864287103e-02,1.595856344454041342e-02
1.040152660089191383e-02,1.039998965123829777e-02,8.801332894599944723e-03,6.835053386646125495e-03,5.147104435222121799e-03,3.848913653161686876e-03,2.882814891397841861e-03,2.181545621129515888e-03,1.706723048265260112e-03,1.449933908797051973e-03,1.425436663943999149e-03,1.662232618577633159e-03,2.197484501646557176e-03,3.071935449217022551e-03,4.327289011448909317e-03,6.003431724776381317e-03,8.127887686800741585e-03,1.067987661030643520e-02,1.350435584196205130e-02,1.618638209983105924e-02,1.803653550529468741e-02
1.082075616090893977e-02,1.086593350402854929e-02,9.226658161214096321e-03,7.173120022717222044e-03,5.383181488227861689e-03,3.978980086521990978e-03,2.904782128103106098e-03,2.095167436627742852e-03,1.517178243257810699e-03,1.172423580852746672e-03,1.089181336421954360e-03,1.312781883753472156e-03,1.896850762786311817e-03,2.896713600199302130e-03,4.365314083767501963e-03,6.349295714759534137e-03,8.876358984721527401e-03,1.191344750744033343e-02,1.526782274650922977e-02,1.844553798637074693e-02,2.064500553058898347e-02
1.124611898416784384e-02,1.134417197047049575e-02,9.669598393742012687e-03,7.531903912176271532e-03,5.640609459305639950e-03,4.128328898980793138e-03,2.940920590253651157e-03,2.014867169512657430e-03,1.323747019880444631e-03,8.817957266473580580e-04,7.353557669280696985e-04,9.509560527458382762e-04,1.603454411696458859e-03,2.766631818158754585e-03,4.507258969594654663e-03,6.879913784846508618e-03,9.911786555623192108e-03,1.355333044578105328e-02,1.756299910387379426e-02,2.134692591376863291e-02,2.396566612397441065e-02
1.167477032660253766e-02,1.183199946037374883e-02,1.012884718326151345e-02,7.912494950449530662e-03,5.923615656871994428e-03,4.304904084168489908e-03,3.003265089874571081e-03,1.956888049207849978e-03,1.146866247814376516e-03,6.029289653778913127e-04,3.943660128605808168e-04,6.150952608718757153e-04,1.367406914029034581e-03,2.748492095247884182e-03,4.841978484959735818e-03,7.711319806985694747e-03,1.138160894176984406e-02,1.578073963677267821e-02,2.060371271397348769e-02,2.513030125589121866e-02,2.825204427673974616e-02
1.210332572925346128e-02,1.232599502908859890e-02,1.060247077958735573e-02,8.315840233590818253e-03,6.237295948805010593e-03,4.519218631515012352e-03,3.108949733137286731e-03,1.945974183328980089e-03,1.019659974421521786e-03,3.782192889791730073e-04,1.195645624348790070e-04,3.726708155019076152e-04,1.275196153573521229e-03,2.954030754513115031e-03,5.513120982452657248e-03,9.025128845702140579e-03,1.350984423976128723e-02,1.886365977834991714e-02,2.469869379105910090e-02,3.013525008154585572e-02,3.385895249298620513e-02
