7.889879723666895495e-02,-1.986134755298024357e-01,9.503466311175491343e-01,7.889879723666905209e-02,-1.986134755298025190e-01,9.503466311175491343e-01,1.334649779058313945e-02
9.296223372129654161e-02,-2.114421428606870768e-01,9.441408010893844738e-01,9.296223372129638896e-02,-2.114421428606871045e-01,9.441408010893842517e-01,1.379910876514439666e-02
1.100261828363754829e-01,-2.251436358300188401e-01,9.405949878229202810e-01,1.100261828363753025e-01,-2.251436358300189511e-01,9.405949878229202810e-01,1.207850194983312031e-02
1.303066159969283599e-01,-2.388060272737072554e-01,9.372016705240644452e-01,1.303066159969283599e-01,-2.388060272737072276e-01,9.372016705240644452e-01,9.666557336990039273e-03
1.539257417471079359e-01,-2.514435516622630651e-01,9.324038356257817739e-01,1.539257417471080192e-01,-2.514435516622630096e-01,9.324038356257817739e-01,7.424805609327220224e-03
1.809109376775409617e-01,-2.621054667201968558e-01,9.257855926277362979e-01,1.809109376775409062e-01,-2.621054667201968558e-01,9.257855926277360759e-01,5.538059607790163374e-03
2.110627103637496282e-01,-2.697923191470726345e-01,9.174261625234098050e-01,2.110627103637494617e-01,-2.697923191470725790e-01,9.174261625234098050e-01,3.957814373980142464e-03
2.438212659938470972e-01,-2.734750370283546284e-01,9.075929509424505159e-01,2.438212659938471527e-01,-2.734750370283546284e-01,9.075929509424505159e-01,2.629501132840689204e-03
2.781813963256420941e-01,-2.722318657022353428e-01,8.966653014489356366e-01,2.781813963256419830e-01,-2.722318657022353983e-01,8.966653014489354145e-01,1.573538249790576438e-03
3.126964463583822296e-01,-2.654591116533713824e-01,8.851130628091231634e-01,3.126964463583822851e-01,-2.654591116533713269e-01,8.851130628091229413e-01,9.126115504943799195e-04
3.456064276416176417e-01,-2.530883886930059834e-01,8.734558056534971193e-01,3.456064276416175307e-01,-2.530883886930060389e-01,8.734558056534968973e-01,8.695992080797465551e-04
3.750870303719281429e-01,-2.357219847760091969e-01,8.621864492902994170e-01,3.750870303719281984e-01,-2.357219847760092524e-01,8.621864492902996391e-01,1.736357007259242691e-03
3.995555924849458762e-01,-2.146103631251253807e-01,8.516761856564463162e-01,3.995555924849457652e-01,-2.146103631251253252e-01,8.516761856564460942e-01,3.819191519246867283e-03
4.179279273753723212e-01,-1.914567086483620895e-01,8.420949805359936313e-01,4.179279273753723212e-01,-1.914567086483620340e-01,8.420949805359934093e-01,7.380952906747173525e-03
4.297369988217122350e-01,-1.681134904780292316e-01,8.333811976352309969e-01,4.297369988217121239e-01,-1.681134904780291484e-01,8.333811976352309969e-01,1.260182763511163984e-02
4.351016933542348752e-01,-1.462804177929168115e-01,8.252817024635620280e-01,4.351016933542349863e-01,-1.462804177929168392e-01,8.252817024635620280e-01,1.956070616416930030e-02
4.346298808037438177e-01,-1.272925174311722585e-01,8.174791747935470365e-01,4.346298808037437067e-01,-1.272925174311722862e-01,8.174791747935470365e-01,2.820241966734843286e-02
4.294058019419229599e-01,-1.120248413492561379e-01,8.098374913778471074e-01,4.294058019419229044e-01,-1.120248413492561934e-01,8.098374913778471074e-01,3.822019601771775577e-02
4.211866396899136555e-01,-1.008920355039527039e-01,8.027852195365495769e-01,4.211866396899135445e-01,-1.008920355039526623e-01,8.027852195365495769e-01,4.879185360323229359e-02
4.126576523556455545e-01,-9.393591975226110724e-02,7.976640397121425030e-01,4.126576523556455545e-01,-9.393591975226109336e-02,7.976640397121425030e-01,5.829295925666733158e-02
4.069925641669622229e-01,-9.105073849233377703e-02,7.964205427803628945e-01,4.069925641669622784e-01,-9.105073849233372152e-02,7.964205427803628945e-01,6.454391057659825126e-02
